idclientecrm,monto_total1,monto_total2,monto_total3,monto_total4,monto_total5,contratado Super Destacado1,contratado Super Destacado2,contratado Super Destacado3,contratado Super Destacado4,contratado Super Destacado5,contratado Destacado1,contratado Destacado2,contratado Destacado3,contratado Destacado4,contratado Destacado5,contratado Simple1,contratado Simple2,contratado Simple3,contratado Simple4,contratado Simple5,contratado Desarrollo Super Destacado1,contratado Desarrollo Super Destacado2,contratado Desarrollo Super Destacado3,contratado Desarrollo Super Destacado4,contratado Desarrollo Super Destacado5,contratado Desarrollo Destacado1,contratado Desarrollo Destacado2,contratado Desarrollo Destacado3,contratado Desarrollo Destacado4,contratado Desarrollo Destacado5,contratado Desarrollo Simple1,contratado Desarrollo Simple2,contratado Desarrollo Simple3,contratado Desarrollo Simple4,contratado Desarrollo Simple5,contratado freemium1,contratado freemium2,contratado freemium3,contratado freemium4,contratado freemium5,Lead Venta1,Lead Venta2,Lead Venta3,Lead Venta4,Lead Venta5,Lead Alquiler1,Lead Alquiler2,Lead Alquiler3,Lead Alquiler4,Lead Alquiler5,Lead Alquiler temporal1,Lead Alquiler temporal2,Lead Alquiler temporal3,Lead Alquiler temporal4,Lead Alquiler temporal5
47109562,299.0,143.0,143.0,143.0,143.0,8.0,13.0,13.0,13.0,8.0,37.0,37.0,37.0,37.0,32.0,80.0,80.0,80.0,80.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,21.0,37.0,14.0,40.0,10.0,7.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
47110218,659.0,659.0,659.0,659.0,659.0,31.0,31.0,31.0,31.0,31.0,60.0,60.0,60.0,60.0,60.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,152.0,128.0,108.0,109.0,21.0,50.0,53.0,76.0,140.0,0.0,0.0,0.0,0.0,0.0
47110550,0.0,0.0,497.0,497.0,497.0,54.0,66.0,66.0,66.0,66.0,43.0,73.0,93.0,93.0,93.0,20050.0,20050.0,20050.0,20050.0,20050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,69.0,82.0,86.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47110559,139.0,139.0,0.0,249.0,249.0,0.0,0.0,4.0,4.0,0.0,10.0,0.0,40.0,45.0,20.0,0.0,0.0,10000.0,10000.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,14.0,15.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47111057,275.0,275.0,275.0,275.0,275.0,2.0,2.0,2.0,2.0,2.0,50.0,50.0,50.0,50.0,50.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,25.0,30.0,29.0,7.0,15.0,12.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0
47111064,230.0,230.0,230.0,230.0,230.0,8.0,8.0,8.0,8.0,4.0,38.0,38.0,38.0,38.0,22.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,13.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47111076,424.0,424.0,424.0,424.0,424.0,72.0,72.0,72.0,72.0,72.0,21.0,21.0,21.0,21.0,21.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,41.0,30.0,32.0,53.0,19.0,35.0,28.0,33.0,27.0,0.0,0.0,0.0,0.0,0.0
47111105,449.0,449.0,449.0,299.0,299.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,2.0,2.0,2.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,66.0,52.0,54.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47111560,199.0,199.0,199.0,0.0,159.0,3.0,3.0,0.0,1.0,0.0,5.0,5.0,0.0,5.0,0.0,30.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,28.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47111714,199.0,179.0,179.0,179.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,23.0,19.0,23.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0
47112034,159.0,159.0,159.0,129.0,129.0,1.0,1.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,55.0,55.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47112189,299.0,299.0,299.0,419.0,419.0,2.0,2.0,12.0,12.0,0.0,40.0,40.0,40.0,40.0,30.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,42.0,34.0,29.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47112354,0.0,198.0,198.0,198.0,198.0,6.0,18.0,21.0,21.0,21.0,10.0,60.0,70.0,70.0,70.0,60.0,60.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,32.0,29.0,46.0,16.0,0.0,0.0,5.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0
47112431,299.0,299.0,299.0,299.0,299.0,2.0,2.0,0.0,0.0,0.0,3.0,4.0,1.0,1.0,0.0,25.0,25.0,15.0,15.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,13.0,8.0,5.0,95.0,73.0,77.0,84.0,55.0,0.0,0.0,0.0,0.0,0.0
47112722,0.0,0.0,179.0,179.0,179.0,15.0,15.0,15.0,15.0,15.0,50.0,50.0,50.0,50.0,50.0,10080.0,10080.0,10080.0,10080.0,10080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,16.0,24.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
