idclientecrm,monto_total1,monto_total2,monto_total3,monto_total4,monto_total5,contratado Super Destacado1,contratado Super Destacado2,contratado Super Destacado3,contratado Super Destacado4,contratado Super Destacado5,contratado Destacado1,contratado Destacado2,contratado Destacado3,contratado Destacado4,contratado Destacado5,contratado Simple1,contratado Simple2,contratado Simple3,contratado Simple4,contratado Simple5,contratado Desarrollo Super Destacado1,contratado Desarrollo Super Destacado2,contratado Desarrollo Super Destacado3,contratado Desarrollo Super Destacado4,contratado Desarrollo Super Destacado5,contratado Desarrollo Destacado1,contratado Desarrollo Destacado2,contratado Desarrollo Destacado3,contratado Desarrollo Destacado4,contratado Desarrollo Destacado5,contratado Desarrollo Simple1,contratado Desarrollo Simple2,contratado Desarrollo Simple3,contratado Desarrollo Simple4,contratado Desarrollo Simple5,contratado freemium1,contratado freemium2,contratado freemium3,contratado freemium4,contratado freemium5,Lead Venta1,Lead Venta2,Lead Venta3,Lead Venta4,Lead Venta5,Lead Alquiler1,Lead Alquiler2,Lead Alquiler3,Lead Alquiler4,Lead Alquiler5,Lead Alquiler temporal1,Lead Alquiler temporal2,Lead Alquiler temporal3,Lead Alquiler temporal4,Lead Alquiler temporal5
10747469,344.0,299.0,299.0,299.0,299.0,4.0,4.0,4.0,4.0,0.0,15.0,15.0,15.0,15.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,125.0,146.0,42.0,42.0,192.0,220.0,163.0,125.0,154.0,0.0,0.0,0.0,0.0,0.0
10747569,557.0,557.0,557.0,557.0,557.0,106.0,106.0,106.0,106.0,106.0,60.0,60.0,60.0,60.0,60.0,10180.0,10180.0,10180.0,10180.0,10180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,35.0,36.0,37.0,60.0,142.0,394.0,352.0,346.0,669.0,0.0,0.0,0.0,0.0,0.0
10747582,259.0,259.0,259.0,259.0,259.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,200.0,200.0,200.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10747620,499.0,499.0,499.0,499.0,499.0,20.0,20.0,20.0,20.0,0.0,50.0,50.0,50.0,50.0,0.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,11.0,27.0,12.0
10747625,159.0,159.0,159.0,159.0,159.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,1.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
10747662,229.0,229.0,229.0,229.0,229.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,7.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0
10747663,949.0,949.0,949.0,949.0,949.0,15.0,15.0,15.0,15.0,15.0,90.0,90.0,90.0,90.0,90.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,37.0,36.0,54.0,60.0,54.0,104.0,115.0,90.0,95.0,0.0,0.0,0.0,0.0,0.0
10747703,299.0,299.0,251.0,251.0,251.0,6.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,10100.0,10100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,200.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
10747774,999.0,0.0,849.0,0.0,899.0,0.0,19.0,0.0,19.0,19.0,0.0,60.0,0.0,80.0,80.0,0.0,10000.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,19.0,0.0,16.0,13.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10747847,398.0,199.0,398.0,398.0,0.0,28.0,33.0,33.0,22.0,22.0,25.0,25.0,25.0,20.0,20.0,210.0,210.0,210.0,180.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,6.0,0.0,12.0,57.0,91.0,22.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
